ID_HDC_G0,UC_NM_MN,STUDY_AREA_SCALE_FACTOR,NO_RUNS,NEED_CENTROID_CHECK,NEED_MAP_CHECK,DONE
1844,Navrongo,40,0,,,TRUE
1850,Barsalogho,20,0,,,TRUE
1852,Ain Temouchent,20,0,,,TRUE
1853,Atebubu,20,0,,,TRUE
1854,Akim Oda,40,0,,,TRUE
1866,Tamale,40,0,,,TRUE
1868,Bolgatanga,40,0,,,TRUE
1870,Arbinda,20,0,FALSE,,
1872,Pissila,20,0,,,TRUE
1873,Savelugu,20,0,,,TRUE
1875,Walewale,20,0,,,TRUE
1876,Nkawkaw,160,0,,,TRUE
1878,Ain Turk,20,0,,,TRUE
1879,Agona Swedru,40,0,,,TRUE
1882,Kwame Danso,20,0,,,TRUE
1883,Asamankese,20,0,,,TRUE
1884,Yeji,20,0,,,TRUE
1886,Winneba,160,0,,,TRUE
1890,Oran,20,0,,,TRUE
1894,Sidi Bel Abbes,20,0,,,TRUE
1898,Boulsa,20,0,,,TRUE
1901,Ain Sefra,20,0,,,TRUE
1902,Garango,40,0,,,TRUE
1903,Tougouri,20,0,,,TRUE
1904,Salaga,20,0,,,TRUE
1909,Zebilla,20,0,,,TRUE
1910,Accra,20,0,,,TRUE
1913,Suhum,20,0,,,TRUE
1916,Hassi Bounif,20,0,,,TRUE
1917,Pouytenga,40,0,,,TRUE
1918,Karaga,20,0,,,TRUE
1921,New Tafo Akim,80,0,,,TRUE
1922,Tenkodogo,20,0,,,TRUE
1925,Nalerigu,20,0,,,TRUE
1926,Nsawam,40,0,,,TRUE
1928,Koup‚la,40,0,,,TRUE
1932,Bitou,20,0,,,TRUE
1933,Arzew,80,0,,,TRUE
1934,Adrar,40,0,,,TRUE
1935,Koforidua,40,0,,,TRUE
1937,Mecheria,20,0,,,TRUE
1938,Bawku,20,0,,,TRUE
1940,Gorom-Gorom,20,0,,,TRUE
1941,Gushiegu,20,0,,,TRUE
1942,Manni,20,0,,,TRUE
1943,Sig,40,0,,,TRUE
1944,Garu,20,0,,,TRUE
1949,Bogand‚,20,0,,,TRUE
1953,Kete Krachi,40,0,,,TRUE
1954,Gao,80,0,,,TRUE
1955,Dori,20,0,,,TRUE
1956,Yendi,20,0,,,TRUE
1957,Somanya,320,0,,,TRUE
1958,Cinkass‚,20,0,,,TRUE
1959,Wulensi,20,0,,,TRUE
1962,Mostaganem,20,0,,,TRUE
1963,Mohammadia,20,0,,,TRUE
1964,Bimbila,20,0,,,TRUE
1966,,20,0,,,TRUE
1968,Mascara,40,0,,,TRUE
1970,Saida,40,0,,,TRUE
1972,Dambai,20,0,,,TRUE
1974,Dapaong,20,0,,,TRUE
1975,Bombouaka,20,0,,,TRUE
1977,Korbongou,20,0,,,TRUE
1982,Fada N'Gourma,20,0,,,TRUE
1985,Ho,20,0,,,TRUE
1986,Relizane,20,0,,,TRUE
1987,Hohoe,20,0,,,TRUE
1988,Sansann‚-Mango,20,0,,,TRUE
1990,El Abiodh Sidi Cheikh,20,0,,,TRUE
1992,Tatale,20,0,,,TRUE
1994,Kpalim‚,20,0,,,TRUE
1996,Kompienga,20,0,,,TRUE
1997,T‚ra,20,0,,,TRUE
1999,Bassar,20,0,,,TRUE
2001,Akatsi,20,0,,,TRUE
2002,Oued Rhiou,80,0,,,TRUE
2007,Frenda,20,0,,,TRUE
2009,Sotouboua,40,0,,,TRUE
2011,Blitta-Gare,20,0,,,TRUE
2013,Cobli,20,0,,,TRUE
2014,Blitta,20,0,,,TRUE
2015,Kand‚,20,0,,,TRUE
2016,Materi,20,0,,,TRUE
2018,Chettia,20,0,,,TRUE
2019,Atakpam‚,40,0,,,TRUE
2020,Lom‚,20,0,,,TRUE
2021,Sokod‚,40,0,,,TRUE
2023,Ash Shalif,40,0,,,TRUE
2024,Tiaret,20,0,,,TRUE
2025,Nots‚,40,0,,,TRUE
2026,Kara,20,0,,,TRUE
2028,Ani‚,20,0,,,TRUE
2030,Ts‚vi‚,40,0,,,TRUE
2031,Libiri,20,0,,,
2034,Tanguieta,20,0,,,TRUE
2036,K‚tao,20,0,,,TRUE
2037,Sougueur,20,0,,,TRUE
2039,Lardjem,20,0,,,TRUE
2041,Natitingou,80,0,,,TRUE
2042,Tchamba,20,0,,,TRUE
